"","x"
"54","랑종별점 - 총 10점 중2카메라쉐이킹 범벅에 멀미증상이 일어났네요. 신고"
"55","랑종별점 - 총 10점 중2내가 진짜이런 졸리는다큐멘터리는처음봤다 신고"
"56","랑종별점 - 총 10점 중9동양쪽 공포영화는 왠만한거 다봤는데 손에 꼽힐정도로 무섭고 좋습니다 다들 예상하는 공포장면들이 보통은 아 이제 끝났구나 하면서 반전 나오면서 끝나는데 랑종은 끝날꺼 같은데 계속 휘몰아 칩니다 그리고 각종 클리셰들이 섞여있긴한데 유치하고 단순좀비물로 생각하시는 분들은 공포영화를 그닥 안보시는분 같거나 서양 공포쪽이 취향일듯 합니다.저랑 취향이 비슷하신 분들은 직접적인 공포장면 보다차안에서 창가에 비추는 상반되는 얼굴예고 편에서도 나오지만 CCTV속 숨어있다 나오는 장면 님이 의식치루다가 검은계란 나오는 씬 등공포상황 전 상황들이 더 소름돋더라구요 신고"
"57","랑종별점 - 총 10점 중2아마 시나리오는 잘 뽑아놓고 연출에서 망친 케이스인것 같다.초반부는 지루하지만 그래도 빌드업중이겠지 했는데 후반부 연출 진짜.. 15년전 봤던 폐급 공포영화 수준이었다. 상황도 너무 억지로 끼워맞춘것들 뿐이고, 뇌절에 뇌절을 거듭하는 연출에 보기가 민망해서 눈을 돌렸다. 신고"
"58","랑종별점 - 총 10점 중8왜 그렇게 혹평하는지 이해 못하겠음,기대 이하였던건 동감 하지만 근래 영화중에 이정도 퀄리티 있는 영화가 있었나 싶음 '한국 공포물'은 말 할 가치도 없고 신고"
"59","랑종별점 - 총 10점 중7개인적으로 저는 나쁘지 않게 봤습니다. 역시 잘 만든 영화든, 못 만든 영화든 기대를 접고 봐야 객관적인 시선에서 볼 수 있는 것 같아요 ㅋㅋ 다만 초중반 연출 나쁘지 않았는데 후반으로 갈수록 개연성이 떨어지는 부분들이 많아서 아쉬웠는데 결국 파국엔딩으로 끝나는 게 마음에 들었어요 특히 밍이랑 님 배역 맡으신 배우분들 차기작도 보고 싶어질 정도로 배우분들 연기가 인상깊었습니다. 따로 해석까지 찾아봤는데 놓쳤던 부분들이나 몰랐던 점들 하나하나 체크해 보니 영화가 끝나도 소소한 재미가 느껴지더라구요 어쨌든 전 괜찮게 봤습니다! 신고"
"60","랑종별점 - 총 10점 중1예고편만 봐도 졸작, 하나도 안 무섭게 생겼음....그것이 알고싶다가 거 무서움ㅎㅎ 신고"
"61","랑종별점 - 총 10점 중1내돈 다시줘OOOO ㅎㅎ 신고"
"62","랑종별점 - 총 10점 중10나만 재밌게봤나ㅋㅋㅋ 신고"
"63","랑종별점 - 총 10점 중8ㅊㅊㅏ차차ㅏ타타ㅏㅏ 신고"
"64","랑종별점 - 총 10점 중10너무 좋은 영화인데 저평가 당하는게 넘 아쉬워요전 2번 봤습니다. 유전 미드소마 보다도 재미있고 곡성때의 참신함은 약간 부족하지만 그래도 쌉띵작인데... ㅜㅜ 신고"
"65","랑종별점 - 총 10점 중9""악은 가장 가까이 있지만 신은 가장 멀리 있다."" 신고"
"66","랑종별점 - 총 10점 중6흥미로운 요소들도 어느 정도 있지만 허술하다. 신고"
"67","랑종별점 - 총 10점 중1고어물이면 고어물이라고 미리 말하자. 내 이럴줄 알았으면 그냥 집에서 쏘우봤지. 신고"
"68","랑종별점 - 총 10점 중10안무섭다는데 개무서움 신고"
"69","랑종별점 - 총 10점 중8혼자 보러갔는데 무서웠습니다ㅠ 중간중간 귀막고 눈을 감았어요.. 밍과 님역의 배우분들이 연기를 잘하셨구요! 특히 밍은 진짜 뭐에 씌인것 같았어요! 전에 컨저링도 나름 잘봤는데 개인적으로 랑종에 비하면 컨저링은 워렌부부의 로맨스 영화 수준인것 같았습니다. 암튼 공포영화라는 주제에 맞게 무서웠습니다. 그리고 기괴했구요. 신고"
"70","랑종별점 - 총 10점 중1중간에 나가시는분들 많던데 나도 나갈걸 갠적으로 끝까지 볼 가치 없는 영화 신고"
"71","랑종별점 - 총 10점 중1사람들이 재미없다해도 설마 하면서 기대하고 봤는데 진짜 재미없어요.. 영화가 지루하다고 느낀 건 살면서 이번이 처음잉에여 걍 스토리도 없고 뻔한 내용입니다 뭐 별 거 없어요 진짜 ㅋㅋ 초반 한시간은 지루했고 중간엔 살짝 재밌어질라다가 마지막엔 걍 뇌 빼고 봄 어이가 없는 결말  연기랑 마케팅 빼고 쓰레기 영화 신고"
"72","랑종별점 - 총 10점 중6배우들이 연기를 정말 정말 잘해요. 그게 다예요.저는 남들이 재미없다고 하는 영화도 정말 잘 보는데요...이건 정말... 신고"
"73","랑종별점 - 총 10점 중1비위상하고 19금씬 있으니 가족과는 관람 비추천,, 그리고 페이크다큐 형식이라 멀미나요 전개도 너무 뻔하고 잔인하기만해서 시간이랑 돈 버림 신고"
"74","랑종별점 - 총 10점 중1처음 주인공 님 나올때까진 기대해봤는데점점뒤로갈수록 어설픈 다큐스탈..다큐아닌거 너무티나고그.런.상.황 에도 계속 카메라들고있다는 컨셉도어이없고대화도 안되는 주인공 밍 이름은 왜케불러대고...영상느낌만 좋았음 신고"
"75","랑종별점 - 총 10점 중10배우들의 연기력이 긋굿 신고"
"76","랑종별점 - 총 10점 중4누가 살을 날리고 벌전을 받고 역살을 맞는지 생각해보세요.그 모든 일이 누구에서 시작되었고 얼마나 참혹한 결과가 되었는지 생각해본다면 조금은 섬뜩해질지도 모르겠습니다. 신고"
"77","랑종별점 - 총 10점 중1영화 진짜 ㅈ노잼도 앵간해선 재미없다고 절때안하는데 이건너무했다 리뷰도 처음달아본다 영화보면서 시계를 몃번을 봤는지 셀수없음 나갈려다 돈아까워서 있었는데 그냥 돈버릴껄 영화본 시간이 더아까움 일인칭시점이라 어지러워죽겠음 뭔 무섭지도않고 뭐 어쩌라고임 세상에서 이렇게 재미없는영화 처음봄 별 하나도 아까움 진짜 제발보지마세요 신고"
"78","랑종별점 - 총 10점 중4다 좋았지만. 개인적으로 : 억지스러운 페이크 다큐 연출. 결정적으로, 차를 탄 것 마냥 스크린이 흔들림. 영화는 흥미로운데 이거때문에 보는 내내 토할뻔 했습니다. 적당히 좀 흔들고 말지. 페이크 다큐인거 서로 다 아는 상황에서 꼭 하루종일 흔들어야 하나요. 멀미 심하신분들 비추입니다. 신고"
