"","x"
"138","보스 베이비 2별점 - 총 10점 중10아이와 봤는데 한번 더 보고 싶다고 해서 자막으로 또 봤어요^^ 신고"
"139","보스 베이비 2별점 - 총 10점 중10시원한 영화관에서 유쾌한 애니 보니까 넘넘 좋더라구요 신고"
"140","보스 베이비 2별점 - 총 10점 중10어른들이나 아이들이나 다 좋아할 애니~~!! 신고"
"141","보스 베이비 2별점 - 총 10점 중10상상이상으로 재밌었어요!! 신고"
"142","보스 베이비 2별점 - 총 10점 중10하 캐릭터 너무 귀엽자나ㅠㅠ 신고"
"143","보스 베이비 2별점 - 총 10점 중10진짜 너무 귀여움 졸귀탱 신고"
"144","보스 베이비 2별점 - 총 10점 중10내용도 알차고 재밌게 봤어요 ~~ 신고"
"145","보스 베이비 2별점 - 총 10점 중10캐릭터 하나 하나 귀엽고 난리ㅠㅠㅠ 신고"
"146","보스 베이비 2별점 - 총 10점 중10세상에서 제일 귀여운 애니메이션 신고"
"147","보스 베이비 2별점 - 총 10점 중10스토리도 존잼이지만 ㅋㅋ 캐릭터들이 졸귀야ㅋㅋㅋ 신고"
"148","보스 베이비 2별점 - 총 10점 중9잘 봤어요 아이가 좋아하네요ㅎㅎ 신고"
"149","보스 베이비 2별점 - 총 10점 중10애니메이션이라서 지루할줄 알았는데 집중하며 재밌게 잘봤습니다 신고"
"150","보스 베이비 2별점 - 총 10점 중10굿굿 이런게 바로 힐링무비가 아닐지ㅋㅋㅋ 신고"
"151","보스 베이비 2별점 - 총 10점 중10보스베이비2 완전 강추합니다~^^ 신고"
"152","보스 베이비 2별점 - 총 10점 중10훈훈하고 교훈있는 영화였네용ㅎㅎ 신고"
"153","보스 베이비 2별점 - 총 10점 중10가족과 함께 보면 좋은 애니메이션 신고"
"154","보스 베이비 2별점 - 총 10점 중10깔깔 거리면서 잘봤네요ㅋㅋㅋ 간만에 힐링타임!! 신고"
"155","보스 베이비 2별점 - 총 10점 중101보다 더 깊고 찐한 감동이 ㅠㅠ 신고"
"156","보스 베이비 2별점 - 총 10점 중10아이들의 상상력을 키워주는 좋은 영화 신고"
"157","보스 베이비 2별점 - 총 10점 중10보스베이비2 전체적으로는 재미있네요 신고"
"158","보스 베이비 2별점 - 총 10점 중101편 안보구 봐두 귀엽고 재밌어요 신고"
"159","보스 베이비 2별점 - 총 10점 중101편도 잼났는데 이번 편도 웃기고 잘만들었다.ㅋㅋㅋㅋ 신고"
"160","보스 베이비 2별점 - 총 10점 중10조카들이 아주 재밌었다고 난리네요ㅋㅋㅋ 신고"
"161","보스 베이비 2별점 - 총 10점 중10가볍게 보러갔다 감동 받았네요 ㅎㅎ 신고"
"162","보스 베이비 2별점 - 총 10점 중10사랑에 빠질 수 밖에 없는 보스베이비! 신고"
"163","보스 베이비 2별점 - 총 10점 중9너무 귀여움 ㅜㅜㅜㅜ 제발 극장가서보셔요ㅜㅜㅜ 신고"
"164","보스 베이비 2별점 - 총 10점 중9보는 내내 미소가 떠나질 않네요ㅎ 신고"
"165","보스 베이비 2별점 - 총 10점 중10넘나 잼나게 보았습니다.^^팝콘을 먹을 수 없기에 아쉬웠지만요.ㅋ 신고"
"166","보스 베이비 2별점 - 총 10점 중103편도 나오겠죠? 애들도 좋아하지만 가족끼리 같이 보기 좋은 영화입니다. 신고"
"167","보스 베이비 2별점 - 총 10점 중5어른이된 보스베이비가 주니어를 통해 부활하는 이야기 신고"
"168","보스 베이비 2별점 - 총 10점 중8볼만했어요 한가지 아쉬운 점은 계절은 겨울 크리스마스던데 왜 여름에 냈는지 모를 일이네요 신고"
"169","보스 베이비 2별점 - 총 10점 중10진짜 실망시키질 않네ㅋㅋㅋ너무 재밌음 그냥 편한 마음으로 보러갔다가 눈물 나올뻔 함.. 신고"
"170","보스 베이비 2별점 - 총 10점 중10진짜 귀여워 죽겠네ㅋㅋㅋㅋ 신고"
"171","보스 베이비 2별점 - 총 10점 중8치명적인 보스베이비의 매력이 치임ㅜ 신고"
"172","보스 베이비 2별점 - 총 10점 중10재미있었습니다. 영상미도 좋았고, 감동도 있었어요 신고"
"173","보스 베이비 2별점 - 총 10점 중10영화 보는내내 너무귀여워 ㅋㅋ 신고"
"174","보스 베이비 2별점 - 총 10점 중10실제로 저렇게 귀여운 보스잇음 일열심히할텐데 신고"
"175","보스 베이비 2별점 - 총 10점 중10재미있다!! 귀엽구.. 크ㅎㅎ 신고"
"176","보스 베이비 2별점 - 총 10점 중10갠적으로1보다 잼슴 1안봐도 이해는 가지만 1보면 흥미로울 요소들이 초반에 같이 나옴 신고"
"177","보스 베이비 2별점 - 총 10점 중10아ㅠㅠ사람들 말 듣고 보스베이비 볼려구영 신고"
